name,zoom,individualId,lat,lng,areaId,URL,notes,icon,whether,type,status
花園渓谷,,F003,36.91156,140.620193,,,First,station,,,TIMEOUT
鬼怒川,,F004,36.354929,139.915009,,,First,station,,,TIMEOUT
軽井沢,,F006,36.34285,138.575795,,,First,station,,,TIMEOUT
甲武信ヶ岳,,F008,35.971394,138.534508,,,First,station,,,TIMEOUT
高原山,,F009,36.89313,139.764377,,,First,station,,,TIMEOUT
高崎,,F010,36.307237,139.163289,,,First,station,,,TIMEOUT
三本槍岳,,F011,37.093585,139.853897,,,First,station,,,TIMEOUT
山中湖,,F012,35.415074,138.876972,,,First,station,,,TIMEOUT
水上,,F014,36.644196,139.069061,,,First,station,,,TIMEOUT
千葉内陸,,F016,35.617315,140.285797,,,First,station,,,TIMEOUT
川越,,F017,35.971465,139.763957,,,First,station,,,TIMEOUT
相模原,,F018,35.54109,139.444656,,,First,station,,,TIMEOUT
相模湖,,F019,35.616925,139.124463,,,First,station,,,TIMEOUT
滝川渓谷,,F021,36.860616,140.4247,,,First,station,,,TIMEOUT
丹沢山,,F022,35.484091,139.137383,,,First,station,,,TIMEOUT
筑波山,,F023,36.197278,140.138722,,,First,station,,,TIMEOUT
秩父,,F024,36.011387,139.07832,,,First,station,,,TIMEOUT
那須,,F025,36.991836,140.044785,,,First,station,,,TIMEOUT
南房総,,F026,35.257463,140.056667,,,First,station,,,TIMEOUT
白根山,,F028,36.728447,139.450723,,,First,station,,,TIMEOUT
箱根,,F029,35.214601,139.009375,,,First,station,,,TIMEOUT
八溝山,,F030,36.97317,140.266902,,,First,station,,,TIMEOUT